TRINITY_DN137_c0_g1_i1 sp|Q03567|SL172_CAEEL
TRINITY_DN5083_c0_g1_i1 sp|Q9BXI9|C1QT6_HUMAN
TRINITY_DN5122_c0_g1_i1 sp|P21328|RTJK_DROME
TRINITY_DN5127_c0_g2_i1 sp|Q09638|NPR15_CAEEL
TRINITY_DN5180_c0_g1_i1 sp|P14381|YTX2_XENLA
TRINITY_DN5189_c0_g1_i1 sp|Q9C8Y1|CML23_ARATH
TRINITY_DN5405_c0_g1_i1 sp|Q8T5G8|CHS_MELAT
TRINITY_DN5494_c0_g1_i1 sp|P22105|TENX_HUMAN
TRINITY_DN5522_c0_g1_i1 sp|P21328|RTJK_DROME
TRINITY_DN5538_c0_g1_i1 sp|Q03164|KMT2A_HUMAN
TRINITY_DN5587_c0_g1_i1 sp|P35441|TSP1_MOUSE
TRINITY_DN5581_c0_g1_i1 sp|P04795|HSP15_SOYBN
TRINITY_DN5666_c0_g1_i1 sp|Q7T3S3|CHSTB_DANRE
TRINITY_DN5639_c0_g1_i1 sp|P0C6B8|SVEP1_RAT
TRINITY_DN5857_c0_g1_i2 sp|P33623|TBA1_ANEPH
TRINITY_DN5839_c0_g1_i1 sp|Q7RTU0|TCF24_HUMAN
TRINITY_DN5948_c0_g1_i1 sp|Q804E1|IOD1_FUNHE
TRINITY_DN6259_c0_g1_i1 sp|P46098|5HT3A_HUMAN
TRINITY_DN6221_c0_g1_i1 sp|P08548|LIN1_NYCCO
TRINITY_DN6280_c0_g1_i1 sp|Q61EX6|NAS36_CAEBR
TRINITY_DN6357_c0_g1_i2 sp|Q5DRC8|PCDB6_PANTR
TRINITY_DN6468_c0_g1_i1 sp|O73791|TIE2_DANRE
TRINITY_DN6494_c0_g1_i1 sp|P22534|GUNA_CALSA
TRINITY_DN6560_c0_g1_i1 sp|Q63HN8|RN213_HUMAN
TRINITY_DN6737_c0_g1_i1 sp|O14756|H17B6_HUMAN
TRINITY_DN6780_c0_g1_i1 sp|A6QLU6|AGRD1_BOVIN
TRINITY_DN7268_c0_g1_i1 sp|Q5JXM2|MET24_HUMAN
TRINITY_DN7348_c0_g1_i1 sp|Q6NRD5|EXD1_XENLA
TRINITY_DN7663_c0_g1_i2 sp|P02556|TBB_LYTPI
TRINITY_DN7742_c0_g1_i1 sp|Q6YHK3|CD109_HUMAN
TRINITY_DN7841_c0_g1_i1 sp|P0C062|GRSA_BREBE
TRINITY_DN7963_c0_g1_i1 sp|E1SKR8|TATD_PANVC
TRINITY_DN8129_c0_g1_i1 sp|O75636|FCN3_HUMAN
TRINITY_DN8313_c0_g1_i1 sp|P86789|GIGA6_CRAGI
TRINITY_DN8742_c0_g1_i1 sp|Q09363|SQV8_CAEEL
TRINITY_DN8976_c0_g2_i1 sp|Q5YB40|MFNG_DANRE
TRINITY_DN9067_c0_g2_i1 sp|Q55905|PPSA_SYNY3
TRINITY_DN9073_c0_g1_i1 sp|Q8HXX6|SAP3_MACFA
TRINITY_DN9074_c0_g1_i1 sp|Q8C525|M21D2_MOUSE
TRINITY_DN9013_c0_g1_i2 sp|O00105|IPUA_ASPNG
TRINITY_DN9027_c0_g1_i1 sp|Q6XD76|ASCL4_HUMAN
TRINITY_DN9212_c0_g1_i1 sp|P41950|DEX1_CAEEL
TRINITY_DN9371_c0_g1_i1 sp|A2AV25|FBCD1_MOUSE
TRINITY_DN9306_c0_g1_i1 sp|Q8VHY0|CSPG4_MOUSE
TRINITY_DN9381_c0_g1_i1 sp|A2CEA7|RGRF2_DANRE
TRINITY_DN9547_c0_g1_i1 sp|P08548|LIN1_NYCCO
TRINITY_DN9687_c0_g1_i1 sp|Q6XKE6|POLG_PVCV2
TRINITY_DN9761_c0_g1_i1 sp|A7MBJ4|PTPRF_BOVIN
TRINITY_DN9900_c0_g2_i1 sp|A8TX70|CO6A5_HUMAN
TRINITY_DN9990_c0_g1_i1 sp|Q9CQ35|GRPL2_MOUSE
TRINITY_DN10145_c0_g1_i1 sp|P02713|ACHG_CHICK
TRINITY_DN10215_c0_g1_i1 sp|Q8K1C7|MOT14_MOUSE
TRINITY_DN10607_c0_g1_i1 sp|A1L314|MPEG1_MOUSE
TRINITY_DN10682_c0_g1_i1 sp|O60290|ZN862_HUMAN
TRINITY_DN10792_c0_g1_i1 sp|Q8R4K8|PAPP1_MOUSE
TRINITY_DN10792_c0_g2_i1 sp|Q9BXP8|PAPP2_HUMAN
TRINITY_DN10834_c0_g1_i1 sp|Q5XGD7|TM45B_XENTR
TRINITY_DN10836_c0_g1_i1 sp|D3KZG3|TMC1_CAEEL
TRINITY_DN10990_c0_g1_i1 sp|Q8JHF2|LFNG_DANRE
TRINITY_DN11469_c0_g1_i1 sp|O70212|5HT3A_CAVPO
TRINITY_DN11569_c0_g1_i1 sp|O73791|TIE2_DANRE
TRINITY_DN11851_c0_g1_i1 sp|Q9NU22|MDN1_HUMAN
TRINITY_DN11975_c0_g1_i1 sp|P10394|POL4_DROME
TRINITY_DN12063_c0_g1_i1 sp|Q2PC93|SSPO_CHICK
TRINITY_DN12132_c0_g1_i1 sp|Q05941|ACHA7_RAT
TRINITY_DN12275_c0_g1_i1 sp|O43301|HS12A_HUMAN
TRINITY_DN12351_c0_g1_i1 sp|D2GZW6|VRTN_AILME
TRINITY_DN12329_c0_g1_i1 sp|Q9MAG3|AB24G_ARATH
TRINITY_DN12337_c0_g1_i1 sp|P08953|TOLL_DROME
TRINITY_DN12515_c0_g1_i1 sp|Q700K0|SSPO_RAT
TRINITY_DN12843_c0_g1_i1 sp|E9Q555|RN213_MOUSE
TRINITY_DN12852_c0_g1_i1 sp|P21328|RTJK_DROME
TRINITY_DN13354_c0_g1_i1 sp|P11369|LORF2_MOUSE
TRINITY_DN13327_c0_g1_i1 sp|V5NAL9|TLR4_PINMT
TRINITY_DN13533_c0_g1_i2 sp|Q95SX7|RTBS_DROME
TRINITY_DN13569_c0_g1_i1 sp|Q8NA92|THAP8_HUMAN
TRINITY_DN13602_c0_g1_i1 sp|P02594|CALM_ELEEL
TRINITY_DN13618_c0_g1_i1 sp|Q9WUA1|WIF1_MOUSE
TRINITY_DN13651_c0_g1_i1 sp|A6H603|NWD1_MOUSE
TRINITY_DN13631_c0_g1_i1 sp|Q66H30|GIN1_RAT
TRINITY_DN13760_c0_g1_i1 sp|Q504H8|HMX3_DANRE
TRINITY_DN13713_c0_g1_i1 sp|O43614|OX2R_HUMAN
TRINITY_DN13778_c0_g1_i2 sp|Q9H0W7|THAP2_HUMAN
TRINITY_DN13901_c0_g1_i1 sp|Q03164|KMT2A_HUMAN
TRINITY_DN13914_c0_g1_i1 sp|Q7LHG5|YI31B_YEAST
TRINITY_DN13964_c0_g1_i1 sp|Q5GIG6|TNI3K_MOUSE
TRINITY_DN14163_c0_g1_i1 sp|P03360|POL_AVIRE
TRINITY_DN14132_c0_g1_i1 sp|P35563|5HT3A_RAT
TRINITY_DN14224_c0_g1_i1 sp|A5WFR0|PIF1_PSYWF
TRINITY_DN14244_c0_g1_i1 sp|Q9CZJ2|HS12B_MOUSE
TRINITY_DN14406_c0_g1_i1 sp|P20875|POL_HV1JR
TRINITY_DN14409_c0_g1_i1 sp|Q9JLB5|ACH10_RAT
TRINITY_DN14557_c0_g1_i1 sp|P58659|EVA1C_MOUSE
TRINITY_DN14604_c0_g1_i1 sp|Q09575|YRD6_CAEEL
TRINITY_DN14628_c0_g2_i1 sp|Q9DE68|PGS2_COTJA
TRINITY_DN14712_c0_g1_i1 sp|Q8NI99|ANGL6_HUMAN
TRINITY_DN14742_c0_g1_i1 sp|P21329|RTJK_DROFU
TRINITY_DN14790_c0_g1_i1 sp|Q6VVW5|ANPRB_MOUSE
TRINITY_DN14898_c0_g1_i1 sp|Q92148|CP1A1_MICTO
TRINITY_DN14848_c0_g1_i1 sp|Q95SX7|RTBS_DROME
TRINITY_DN14950_c0_g1_i1 sp|Q9UR07|TF211_SCHPO
TRINITY_DN14962_c0_g1_i1 sp|P04323|POL3_DROME
TRINITY_DN15464_c0_g1_i1 sp|P04323|POL3_DROME
TRINITY_DN15481_c0_g1_i1 sp|Q6TGZ4|THA11_DANRE
TRINITY_DN15527_c0_g1_i1 sp|Q9Y6R7|FCGBP_HUMAN
TRINITY_DN15710_c0_g1_i1 sp|O54990|PROM1_MOUSE
TRINITY_DN15797_c0_g1_i1 sp|Q96F81|DISP1_HUMAN
TRINITY_DN15731_c0_g1_i1 sp|Q09575|YRD6_CAEEL
TRINITY_DN15735_c0_g1_i1 sp|Q80Z71|TENN_MOUSE
TRINITY_DN15827_c0_g1_i1 sp|P11369|LORF2_MOUSE
TRINITY_DN15894_c0_g1_i1 sp|Q8TCU5|NMD3A_HUMAN
TRINITY_DN16041_c0_g1_i1 sp|P24733|MYS_ARGIR
TRINITY_DN16006_c0_g1_i1 sp|P20825|POL2_DROME
TRINITY_DN16216_c0_g1_i1 sp|P03870|FLP_YEAST
TRINITY_DN16249_c0_g1_i1 sp|O75339|CILP1_HUMAN
TRINITY_DN16343_c0_g1_i1 sp|P82596|PLC_HALLA
TRINITY_DN16300_c0_g1_i1 sp|P14381|YTX2_XENLA
TRINITY_DN16390_c0_g1_i1 sp|P98161|PKD1_HUMAN
TRINITY_DN16332_c0_g1_i1 sp|O00602|FCN1_HUMAN
TRINITY_DN16376_c0_g1_i1 sp|Q57859|Y416_METJA
TRINITY_DN16388_c0_g1_i1 sp|Q9UKP5|ATS6_HUMAN
TRINITY_DN16422_c0_g1_i1 sp|P14381|YTX2_XENLA
TRINITY_DN16651_c0_g1_i1 sp|Q13360|ZN177_HUMAN
TRINITY_DN16991_c0_g1_i1 sp|Q6V0I7|FAT4_HUMAN
TRINITY_DN16970_c0_g1_i1 sp|P24585|DEG1_CAEEL
TRINITY_DN17183_c0_g1_i1 sp|Q05941|ACHA7_RAT
TRINITY_DN17357_c0_g1_i1 sp|Q8IZD4|DCP1B_HUMAN
TRINITY_DN17454_c0_g1_i1 sp|Q9ULK0|GRID1_HUMAN
TRINITY_DN17846_c0_g1_i1 sp|Q504Y2|PKDCC_HUMAN
TRINITY_DN18087_c0_g1_i1 sp|P12545|PLMN_MACMU
TRINITY_DN18028_c0_g1_i1 sp|Q59RQ0|PIF1_CANAL
TRINITY_DN18465_c0_g2_i1 sp|P03796|Y77_BPT7
TRINITY_DN18424_c0_g1_i1 sp|Q6BD04|GPR54_ORENI
TRINITY_DN18552_c0_g1_i1 sp|Q9TUB5|CLCA1_PIG
TRINITY_DN18524_c0_g1_i1 sp|Q09575|YRD6_CAEEL
TRINITY_DN18639_c0_g1_i1 sp|P08548|LIN1_NYCCO
TRINITY_DN18755_c0_g1_i1 sp|G5EBQ8|CHS2_CAEEL
TRINITY_DN18838_c0_g1_i1 sp|Q63099|KCNB2_RAT
TRINITY_DN18894_c0_g1_i2 sp|Q5F4A1|G2E3_CHICK
TRINITY_DN19080_c0_g1_i1 sp|P33538|DPOM_NEUIN
TRINITY_DN19049_c0_g1_i1 sp|B3EWZ5|MLRP1_ACRMI
TRINITY_DN19169_c0_g1_i2 sp|P20469|ICEA_PANAN
TRINITY_DN19185_c0_g1_i1 sp|O14718|OPSX_HUMAN
TRINITY_DN19252_c0_g1_i1 sp|P61752|HRH2_PONPY
TRINITY_DN19920_c0_g1_i1 sp|P10401|POLY_DROME
TRINITY_DN20189_c0_g1_i1 sp|P04323|POL3_DROME
TRINITY_DN20146_c0_g1_i1 sp|O95395|GCNT3_HUMAN
TRINITY_DN20200_c0_g1_i1 sp|Q63010|EST5_RAT
TRINITY_DN20283_c0_g1_i1 sp|Q3SYK4|VRTN_MOUSE
TRINITY_DN20382_c0_g1_i1 sp|P34457|YMD3_CAEEL
TRINITY_DN20403_c0_g1_i1 sp|Q63HN8|RN213_HUMAN
TRINITY_DN20427_c0_g1_i1 sp|Q5F349|SG196_CHICK
TRINITY_DN20595_c0_g1_i1 sp|P86854|PLCL_MYTGA
TRINITY_DN20608_c0_g1_i1 sp|Q00546|TENR_CHICK
TRINITY_DN20723_c0_g1_i1 sp|B0F2B4|NLGN4_MOUSE
TRINITY_DN21053_c0_g1_i1 sp|Q91829|RAG1_XENLA
TRINITY_DN21542_c0_g1_i1 sp|P08548|LIN1_NYCCO
TRINITY_DN21639_c0_g1_i1 sp|P38766|RRM3_YEAST
TRINITY_DN21882_c0_g1_i1 sp|D8VNS8|FCNV2_CERRY
TRINITY_DN21968_c0_g1_i1 sp|P14381|YTX2_XENLA
TRINITY_DN22290_c0_g1_i1 sp|P46098|5HT3A_HUMAN
TRINITY_DN22595_c0_g1_i1 sp|O00370|LORF2_HUMAN
TRINITY_DN22576_c0_g1_i1 sp|P35441|TSP1_MOUSE
TRINITY_DN22638_c0_g1_i1 sp|P98072|ENTK_BOVIN
TRINITY_DN22898_c0_g1_i1 sp|Q4LDE5|SVEP1_HUMAN
TRINITY_DN23078_c0_g1_i1 sp|P41996|CPG2_CAEEL
TRINITY_DN23191_c0_g1_i1 sp|Q9TUB5|CLCA1_PIG
TRINITY_DN23163_c0_g1_i1 sp|Q20363|SIP1_CAEEL
TRINITY_DN23271_c0_g1_i1 sp|Q9FNF8|P4KG3_ARATH
TRINITY_DN23212_c0_g1_i2 sp|Q06684|THBI_RHOPR
TRINITY_DN23296_c0_g1_i1 sp|P40197|GPV_HUMAN
TRINITY_DN23303_c0_g1_i1 sp|Q96MB7|HARB1_HUMAN
TRINITY_DN23308_c0_g1_i1 sp|O44252|ROST_DROME
TRINITY_DN23422_c0_g2_i1 sp|Q460N5|PAR14_HUMAN
TRINITY_DN23572_c0_g1_i1 sp|P36196|ACES_CHICK
TRINITY_DN23572_c0_g2_i1 sp|P30122|CEL_BOVIN
TRINITY_DN23615_c0_g1_i1 sp|O00370|LORF2_HUMAN
TRINITY_DN23630_c0_g1_i1 sp|Q65228|VPRT_ASFM2
TRINITY_DN23659_c0_g1_i1 sp|Q5DRB5|PCDG5_PANTR
TRINITY_DN23659_c0_g2_i1 sp|P33450|FAT_DROME
TRINITY_DN23692_c0_g1_i1 sp|P46088|GST_NOTSL
TRINITY_DN23641_c0_g1_i1 sp|Q02589|ADPRH_RAT
TRINITY_DN23649_c0_g1_i1 sp|Q96M20|CNBD2_HUMAN
TRINITY_DN23754_c0_g1_i1 sp|O35379|MRP1_MOUSE
TRINITY_DN23775_c0_g1_i1 sp|P61315|G3ST3_MOUSE
TRINITY_DN23851_c0_g2_i1 sp|Q05187|TGMH_TACTR
TRINITY_DN23858_c0_g1_i1 sp|P40806|PKSJ_BACSU
TRINITY_DN23943_c0_g1_i1 sp|V5NAL9|TLR4_PINMT
TRINITY_DN23955_c0_g1_i1 sp|Q04757|HR29_HALRO
TRINITY_DN23962_c0_g1_i1 sp|Q8IXT5|RB12B_HUMAN
TRINITY_DN24073_c0_g1_i1 sp|Q7L622|G2E3_HUMAN
TRINITY_DN24058_c0_g1_i1 sp|Q8AXY6|MUSK_CHICK
TRINITY_DN24002_c0_g1_i1 sp|Q9VNM1|NPFR_DROME
TRINITY_DN24048_c0_g1_i1 sp|P35499|SCN4A_HUMAN
TRINITY_DN24124_c0_g1_i2 sp|P13608|PGCA_BOVIN
TRINITY_DN24134_c0_g1_i1 sp|Q460N5|PAR14_HUMAN
TRINITY_DN24254_c0_g1_i1 sp|C3ZQF9|QRFPR_BRAFL
TRINITY_DN24465_c0_g1_i1 sp|Q03164|KMT2A_HUMAN
TRINITY_DN24545_c0_g1_i1 sp|P04323|POL3_DROME
TRINITY_DN24543_c0_g1_i1 sp|Q4ZHW1|PTF1A_XENLA
TRINITY_DN24523_c0_g1_i1 sp|Q9TWL9|COMA_CONMA
TRINITY_DN24538_c0_g2_i1 sp|G5EBQ8|CHS2_CAEEL
TRINITY_DN24603_c0_g1_i1 sp|Q04202|TCB2_CAEBR
TRINITY_DN24636_c0_g1_i1 sp|Q7LGC8|CHST3_HUMAN
TRINITY_DN24645_c0_g1_i1 sp|A8WGA3|LFN1L_DANRE
TRINITY_DN24645_c0_g2_i1 sp|Q9NT99|LRC4B_HUMAN
TRINITY_DN24879_c0_g1_i1 sp|P35446|SPON1_RAT
TRINITY_DN25092_c0_g1_i1 sp|Q9Y6R7|FCGBP_HUMAN
TRINITY_DN25120_c0_g1_i1 sp|Q28VQ6|SECA_JANSC
TRINITY_DN25976_c0_g1_i1 sp|Q42910|PPDK_MESCR
TRINITY_DN26032_c0_g1_i1 sp|B3EWZ5|MLRP1_ACRMI
TRINITY_DN26032_c0_g2_i1 sp|B3EWZ5|MLRP1_ACRMI
TRINITY_DN26134_c0_g1_i1 sp|P05450|YAT7_RHOBL
TRINITY_DN26363_c0_g1_i1 sp|P57756|FCN2_RAT
TRINITY_DN26324_c0_g1_i2 sp|Q16951|5HTB2_APLCA
TRINITY_DN26505_c0_g1_i1 sp|P11031|TCP4_MOUSE
TRINITY_DN26675_c0_g2_i1 sp|P02711|ACHA_TORMA
TRINITY_DN26853_c0_g1_i1 sp|Q9I927|FUCL5_ANGJA
TRINITY_DN26930_c0_g1_i1 sp|Q9BYK8|HELZ2_HUMAN
TRINITY_DN27119_c0_g1_i1 sp|Q7Z442|PK1L2_HUMAN
TRINITY_DN27205_c0_g1_i1 sp|Q20930|MIG17_CAEEL
TRINITY_DN27568_c0_g1_i1 sp|Q95SX7|RTBS_DROME
TRINITY_DN28219_c0_g1_i1 sp|G5EBQ8|CHS2_CAEEL
TRINITY_DN28406_c0_g1_i1 sp|Q9UBY8|CLN8_HUMAN
TRINITY_DN28487_c0_g1_i1 sp|P10394|POL4_DROME
TRINITY_DN28505_c0_g1_i2 sp|P21328|RTJK_DROME
TRINITY_DN28748_c0_g1_i1 sp|Q9D8U4|C1QT2_MOUSE
TRINITY_DN28768_c0_g1_i2 sp|Q02576|HEN1_MOUSE
TRINITY_DN28858_c0_g1_i1 sp|P14943|EST2_RABIT
TRINITY_DN28818_c0_g1_i1 sp|P30028|DPOL_HPBDC
TRINITY_DN29033_c0_g1_i1 sp|Q02067|ASCL1_MOUSE
TRINITY_DN29107_c0_g1_i1 sp|P49286|MTR1B_HUMAN
TRINITY_DN29345_c0_g1_i1 sp|Q95SX7|RTBS_DROME
TRINITY_DN29465_c0_g1_i1 sp|P60323|NANO3_HUMAN
TRINITY_DN29586_c0_g1_i1 sp|Q58CW4|NMUR2_BOVIN
TRINITY_DN29698_c0_g1_i1 sp|Q9CUX1|P52K_MOUSE
TRINITY_DN29786_c0_g1_i1 sp|Q91619|NODAL_XENLA
TRINITY_DN29729_c0_g1_i1 sp|P10394|POL4_DROME
TRINITY_DN29781_c0_g1_i1 sp|P40806|PKSJ_BACSU
TRINITY_DN29854_c0_g1_i1 sp|Q2LD37|K1109_HUMAN
TRINITY_DN29873_c0_g1_i1 sp|Q11082|YT66_CAEEL
TRINITY_DN29908_c0_g1_i1 sp|O14008|CAM2_SCHPO
TRINITY_DN29976_c0_g1_i1 sp|Q00725|SGS4_DROME
TRINITY_DN29969_c0_g1_i1 sp|Q6CFI3|DDI1_YARLI
TRINITY_DN29923_c0_g1_i1 sp|P21329|RTJK_DROFU
TRINITY_DN30004_c0_g2_i1 sp|P05892|GAG_SIVVT
TRINITY_DN30067_c0_g1_i1 sp|Q9ERB4|CSPG2_RAT
TRINITY_DN30028_c0_g1_i1 sp|Q7TN88|PK1L2_MOUSE
TRINITY_DN30085_c0_g1_i1 sp|P29475|NOS1_HUMAN
TRINITY_DN30107_c0_g2_i1 sp|Q9Y6R7|FCGBP_HUMAN
TRINITY_DN30183_c0_g1_i1 sp|Q6ZPT1|KLHL9_MOUSE
TRINITY_DN30188_c0_g1_i1 sp|P14381|YTX2_XENLA
TRINITY_DN30246_c0_g1_i1 sp|Q9GZV8|PRD14_HUMAN
TRINITY_DN30203_c0_g1_i1 sp|P34056|AP2A_MOUSE
TRINITY_DN30210_c0_g1_i1 sp|Q5AXT5|PIF1_EMENI
TRINITY_DN30253_c0_g1_i1 sp|Q3UES3|TNKS2_MOUSE
TRINITY_DN30290_c0_g1_i1 sp|Q9UPN3|MACF1_HUMAN
TRINITY_DN30221_c0_g1_i1 sp|P14381|YTX2_XENLA
TRINITY_DN30224_c0_g1_i1 sp|Q05046|CH62_CUCMA
TRINITY_DN30233_c0_g1_i1 sp|P08962|CD63_HUMAN
TRINITY_DN30285_c0_g1_i1 sp|Q23551|UNC22_CAEEL
TRINITY_DN30386_c0_g1_i2 sp|Q63HN8|RN213_HUMAN
TRINITY_DN30334_c0_g1_i1 sp|F7J220|SRCR1_PATPE
TRINITY_DN30377_c0_g1_i2 sp|Q9BRQ0|PYGO2_HUMAN
TRINITY_DN30374_c0_g1_i1 sp|P55066|NCAN_MOUSE
TRINITY_DN30397_c0_g1_i1 sp|Q6P2X9|MOT12_XENTR
TRINITY_DN30436_c0_g1_i1 sp|O95185|UNC5C_HUMAN
TRINITY_DN30470_c0_g1_i1 sp|Q9P2Z0|THA10_HUMAN
TRINITY_DN30477_c0_g1_i1 sp|P24721|ASGR2_MOUSE
TRINITY_DN30485_c0_g1_i1 sp|Q96A11|G3ST3_HUMAN
TRINITY_DN30530_c0_g1_i1 sp|Q90XB3|OLIG2_CHICK
TRINITY_DN30548_c0_g1_i1 sp|A9XE49|IL17L_CRAGI
TRINITY_DN30657_c0_g1_i1 sp|O75132|ZBED4_HUMAN
TRINITY_DN30920_c0_g1_i1 sp|O88281|MEGF6_RAT
TRINITY_DN31070_c0_g1_i1 sp|H9GBX2|SCNNA_ANOCA
TRINITY_DN31023_c0_g1_i1 sp|Q2PZL6|FAT4_MOUSE
TRINITY_DN31023_c0_g3_i1 sp|O35161|CELR1_MOUSE
TRINITY_DN31279_c0_g1_i1 sp|Q5ECR9|CCR5_CANLF
TRINITY_DN31285_c0_g1_i2 sp|Q62059|CSPG2_MOUSE
TRINITY_DN31454_c0_g2_i1 sp|G5EGQ6|TEN1_CAEEL
TRINITY_DN31557_c0_g1_i1 sp|Q9QYP1|LRP4_RAT
TRINITY_DN31637_c0_g1_i1 sp|A2ARI4|LGR4_MOUSE
TRINITY_DN31643_c0_g1_i1 sp|Q9NBX4|RTXE_DROME
TRINITY_DN31600_c0_g1_i1 sp|Q61241|TSSK1_MOUSE
TRINITY_DN31644_c0_g1_i1 sp|Q6JAN0|GPR98_DANRE
TRINITY_DN31623_c0_g1_i2 sp|Q4V885|COL12_RAT
TRINITY_DN31621_c0_g2_i1 sp|P41753|HSP70_ACHKL
TRINITY_DN31670_c0_g1_i1 sp|Q4ZJM9|C1QL4_MOUSE
TRINITY_DN31672_c0_g1_i1 sp|Q80YA8|CRUM2_MOUSE
TRINITY_DN31746_c0_g1_i1 sp|O70165|FCN1_MOUSE
TRINITY_DN31846_c0_g1_i1 sp|P34269|TYR1_CAEEL
TRINITY_DN31938_c0_g1_i1 sp|Q923K1|TS1R3_RAT
TRINITY_DN31945_c0_g1_i1 sp|O97581|LHX3_PIG
TRINITY_DN31995_c0_g1_i1 sp|P10079|FBP1_STRPU
TRINITY_DN31908_c0_g1_i1 sp|Q3KNS1|PTHD3_HUMAN
TRINITY_DN31918_c0_g1_i1 sp|A5PN28|OTO1A_DANRE
TRINITY_DN31992_c0_g1_i1 sp|P86860|PSM_MYTCA
TRINITY_DN32007_c0_g1_i1 sp|Q6MHJ5|PIF1_BDEBA
TRINITY_DN32018_c0_g2_i1 sp|P55737|HS902_ARATH
TRINITY_DN32038_c0_g1_i2 sp|Q765V4|DFP11_SAMRI
TRINITY_DN32108_c0_g1_i1 sp|A0JM12|MEG10_XENTR
TRINITY_DN32111_c0_g1_i1 sp|O88516|DLL3_MOUSE
TRINITY_DN32112_c0_g1_i1 sp|Q96WZ1|EF1A_COCIM
TRINITY_DN32194_c0_g1_i1 sp|Q9ES30|C1QT3_MOUSE
TRINITY_DN32119_c0_g1_i1 sp|Q5FWI3|TMEM2_MOUSE
TRINITY_DN32126_c0_g1_i1 sp|O70244|CUBN_RAT
TRINITY_DN32132_c0_g1_i1 sp|B1WB06|MET24_XENTR
TRINITY_DN32167_c0_g1_i1 sp|Q27218|ACH7_CAEEL
TRINITY_DN32175_c0_g1_i1 sp|Q9WTS8|FCN1_RAT
TRINITY_DN32205_c0_g1_i1 sp|P29147|BDH_RAT
TRINITY_DN32247_c0_g1_i4 sp|Q503L9|NXN_DANRE
TRINITY_DN32248_c0_g1_i1 sp|Q5JVG2|ZN484_HUMAN
TRINITY_DN32235_c0_g1_i1 sp|Q94900|GLUCL_DROME
TRINITY_DN32249_c0_g1_i1 sp|Q9WVH6|ANGP4_MOUSE
TRINITY_DN32272_c0_g1_i1 sp|Q2Q1W2|LIN41_HUMAN
